,Unnamed: 0,name,address,description,longitude,latitude
142,142,Озеро Карачи,"632224, Новосибирская область, Чановский район, п. Озеро-Карачи, ул. Школьная, 1, Озеро-Карачи","Озеро Карачи по адресу 632224, Новосибирская область, Чановский район, п. Озеро-Карачи, ул. Школьная, 1, Озеро-Карачи. Минимальная стоимость в отеле 'Озеро Карачи' за ночь: от 4507₽",76.941324,55.345432
143,143,Randevu,"Krasnopartizanskaya 124b, Венгерово","Randevu по адресу Krasnopartizanskaya 124b, Венгерово. Минимальная стоимость в отеле 'Randevu' за ночь: от 4507₽",76.768802,55.688629
144,144,Razdolie,"Voronezhskiy Pereulok 16/1 Novosibirsk 630010,Voronezhskiy Pereulok, Новосибирск","Razdolie по адресу Voronezhskiy Pereulok 16/1 Novosibirsk 630010,Voronezhskiy Pereulok, Новосибирск. Минимальная стоимость в отеле 'Razdolie' за ночь: от 3202₽",83.028533,55.056404
145,145,Serebryanye Klyuchi,"Serebryanye Klyuchi 8, Новосибирск","Serebryanye Klyuchi по адресу Serebryanye Klyuchi 8, Новосибирск. Минимальная стоимость в отеле 'Serebryanye Klyuchi' за ночь: от 7787₽",82.935027,55.068984
146,146,888,"ul. Michurina 12A Novosibirsk 630091,ul. Michurina, Новосибирск","888 по адресу ul. Michurina 12A Novosibirsk 630091,ul. Michurina, Новосибирск. Минимальная стоимость в отеле '888' за ночь: от 3202₽",82.92043,55.030204
147,147,Жилые помещения Dostoevsky,"Maxima Gorkogo Street 85 Novosibirsk 630099,Maxima Gorkogo Street, Новосибирск","Жилые помещения Dostoevsky по адресу Maxima Gorkogo Street 85 Novosibirsk 630099,Maxima Gorkogo Street, Новосибирск. Минимальная стоимость в отеле 'Жилые помещения Dostoevsky' за ночь: от 3202₽",82.928083,55.028058
148,148,Меркурий,"Коммуностроевская ул., д. 178, Новосибирск","Меркурий по адресу Коммуностроевская ул., д. 178, Новосибирск. Минимальная стоимость в отеле 'Меркурий' за ночь: от 4220₽",82.92043,55.030204
149,149,Гостевой дом Вера,"ул. Севастопольская, д.581, Восток","Гостевой дом Вера по адресу ул. Севастопольская, д.581, Восток. Минимальная стоимость в отеле 'Гостевой дом Вера' за ночь: от 12183₽",137.014299,50.548584
150,150,Мини отель Звездный,"Улица Военная 9/1, Новосибирск","Мини отель Звездный по адресу Улица Военная 9/1, Новосибирск. Минимальная стоимость в отеле 'Мини отель Звездный' за ночь: от 2452₽",82.939124,55.026613
151,151,Набережная,"Инская ул., д. 39, Новосибирск","Набережная по адресу Инская ул., д. 39, Новосибирск. Минимальная стоимость в отеле 'Набережная' за ночь: от 3202₽",82.931227,55.012522
152,152,Obschezhitie Gostinichnogo Tipa Akademiya,"Новосибирск, ул. Ватутина, д.57, Новосибирск","Obschezhitie Gostinichnogo Tipa Akademiya по адресу Новосибирск, ул. Ватутина, д.57, Новосибирск. Минимальная стоимость в отеле 'Obschezhitie Gostinichnogo Tipa Akademiya' за ночь: от 3202₽",82.906497,54.979604
153,153,Hostel Buen Camino,"M Gor'kogo 53 Novosibirsk,M Gor'kogo, Новосибирск","Hostel Buen Camino по адресу M Gor'kogo 53 Novosibirsk,M Gor'kogo, Новосибирск. Минимальная стоимость в отеле 'Hostel Buen Camino' за ночь: от 2260₽",82.915866,55.027289
154,154,AAA Elita on Yadryncevskaya 18,"Ядринцевская,18, Новосибирск","AAA Elita on Yadryncevskaya 18 по адресу Ядринцевская,18, Новосибирск. Минимальная стоимость в отеле 'AAA Elita on Yadryncevskaya 18' за ночь: от 3202₽",82.924697,55.033032
155,155,АлАнт на улице Зыряновская,"ул. Зыряновская, 61, Новосибирск","АлАнт на улице Зыряновская по адресу ул. Зыряновская, 61, Новосибирск. Минимальная стоимость в отеле 'АлАнт на улице Зыряновская' за ночь: от 4125₽",82.941235,55.009982
156,156,Apartamentyi Pisareva 20,"ulitsa Pisareva, 20, Novosibirsk, Russia, Новосибирск","Apartamentyi Pisareva 20 по адресу ulitsa Pisareva, 20, Novosibirsk, Russia, Новосибирск. Минимальная стоимость в отеле 'Apartamentyi Pisareva 20' за ночь: от 3202₽",82.918211,55.048606
